iter	RMSE
0	1.070074957
1	1.036610609
2	1.007843871
3	0.974353972
4	0.9433511997
5	0.9142017751
6	0.8889254171
7	0.863704049
8	0.8357872403
9	0.8116157729
10	0.7855857122
11	0.7612964111
12	0.7388092395
13	0.7172283487
14	0.6978399042
15	0.6779020772
16	0.6593663029
17	0.6406903788
18	0.6236785223
19	0.6063837194
20	0.5929541327
21	0.5777969549
22	0.5615306901
23	0.5466010138
24	0.5337391336
25	0.5216322997
26	0.5102383503
27	0.4974810394
28	0.4864056937
29	0.4761692119
30	0.4655790399
31	0.456147808
32	0.4462394861
33	0.4384342129
34	0.4284166717
35	0.419354761
36	0.4106886003
37	0.4024900867
38	0.3950207265
39	0.3878925911
40	0.3811543384
41	0.3739032193
42	0.3659893342
43	0.3580922867
44	0.3524162741
45	0.3463753955
46	0.3393943745
47	0.3345350576
48	0.3273170713
49	0.32240604
50	0.3164879537
51	0.3114129801
52	0.307672983
53	0.3036877441
54	0.2999858856
55	0.2943348558
56	0.2907722503
57	0.287456823
58	0.2838855362
59	0.2806014286
60	0.2778999917
61	0.2731561288
62	0.2698512683
63	0.2659444248
64	0.260341186
65	0.2554444278
66	0.2528941931
67	0.248817908
68	0.2447208683
69	0.2405131707
70	0.2362372382
71	0.2339125422
72	0.230108839
73	0.2278832892
74	0.2251585462
75	0.2219792105
76	0.2174869047
77	0.2145395427
78	0.2124370499
79	0.2087786641
80	0.2052389601
81	0.2031468341
82	0.1998647232
83	0.1966695022
84	0.195037214
85	0.193441931
86	0.1905747865
87	0.1889309308
88	0.1856985726
89	0.1830980032
90	0.1808070319
91	0.1794011794
92	0.178091053
93	0.1768466905
94	0.1756558669
95	0.1735858397
96	0.1725334189
97	0.1708853016
98	0.1685310832
99	0.1664763799
100	0.163848238
101	0.1620252841
102	0.1604120795
103	0.1588616462
104	0.1580513
105	0.157110983
106	0.1561892845
107	0.154576288
108	0.1529116251
109	0.1521887852
110	0.1513744455
111	0.150766855
112	0.1489628457
113	0.1482762286
114	0.1474545319
115	0.1468085088
116	0.1451257683
117	0.1437272017
118	0.142089092
119	0.1407493278
120	0.1394062349
121	0.1378896881
122	0.1371097249
123	0.1352554666
124	0.1340211023
125	0.132994943
126	0.1318254565
127	0.1304771364
128	0.1293284395
129	0.1286386171
130	0.1274012521
131	0.1268028371
132	0.1255721891
133	0.1250774239
134	0.124296684
135	0.123558528
136	0.1232127742
137	0.1223021396
138	0.1219324061
139	0.121522382
140	0.120885954
141	0.1205014091
142	0.1202762289
143	0.1194107186
144	0.1191671458
145	0.1187136562
146	0.1176196847
147	0.1167712322
148	0.1163573196
149	0.1153192678
150	0.1144458824
151	0.1137164392
152	0.1132571531
153	0.112472068
154	0.1120865872
155	0.1117785897
156	0.1114200505
157	0.1105675298
158	0.1101212863
159	0.1095881326
160	0.1087902472
161	0.1084646648
162	0.1076418323
163	0.1069926958
164	0.1067129213
165	0.1063534656
166	0.1055989553
167	0.1050012412
168	0.1046631597
169	0.1041255531
170	0.1039897598
171	0.1032719819
172	0.1027374868
173	0.1024700333
174	0.1017761618
175	0.1010240478
176	0.1006776665
177	0.1005370122
178	0.100259138
179	0.09966907614
180	0.09952561984
181	0.09931888797
182	0.09887556759
183	0.09862339821
184	0.09812970838
185	0.09768568503
186	0.09726471676
187	0.09709206702
188	0.09669802719
189	0.09636646024
190	0.09587900271
191	0.09552945491
192	0.09529383455
193	0.09482950556
194	0.09436155518
195	0.09384230319
196	0.09340581987
197	0.093069574
198	0.09296737278
199	0.09276203929
200	0.0924326217
201	0.09203407133
202	0.09191595015
203	0.09157418337
204	0.09122456564
205	0.09091939071
206	0.09054837116
207	0.0900892075
208	0.08985639933
209	0.08944036121
210	0.08908333587
211	0.08889775654
212	0.08849713566
213	0.08830524862
214	0.0880781219
215	0.08780322821
216	0.08736252713
217	0.08722245212
218	0.08689021756
219	0.08655251834
220	0.08620265469
221	0.08593215141
222	0.08558925868
223	0.08529523267
224	0.08499907643
225	0.0847046794
226	0.08446702695
227	0.0842229095
228	0.08386427135
229	0.08354602865
230	0.08325752076
231	0.08299704774
232	0.08278250247
233	0.08247611679
234	0.08227726869
235	0.08197777323
236	0.08174950902
237	0.08160323719
238	0.0814830369
239	0.08131454869
240	0.08123928252
241	0.08107028446
242	0.08091825945
243	0.08072467133
244	0.08041764159
245	0.08032713719
246	0.08011798501
247	0.079787403
248	0.07957418126
249	0.07948978571
250	0.0792876235
251	0.07918296612
252	0.07887535003
253	0.07861714896
254	0.07838938764
255	0.07819072093
256	0.07792243712
257	0.07772191308
258	0.0775731608
259	0.07737422082
260	0.07715511713
261	0.07698162586
262	0.07670542419
263	0.07650409653
264	0.07640130453
265	0.07628220756
266	0.07618528585
267	0.07601773964
268	0.07592569721
269	0.07568028238
270	0.07553086139
271	0.0754273843
272	0.07523840628
273	0.07502653206
274	0.07486643638
275	0.07459390219
276	0.07438784707
277	0.07421350873
278	0.07401449042
279	0.07387657144
280	0.07372813743
281	0.07353998261
282	0.07333355336
283	0.07319066052
284	0.07314231896
285	0.07293681475
286	0.0727627699
287	0.07246234365
288	0.07229614474
289	0.07212363859
290	0.07195335936
291	0.07174579687
292	0.07158368241
293	0.07151357266
294	0.0713374226
295	0.0710337802
